[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.113] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.114] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_10, Total msg: 300
[00:00:10.124] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.124] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.124] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.125] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_11, Total msg: 300
[00:00:10.135] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.135] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.136] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.137] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.137] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_12, Total msg: 300
[00:00:10.147] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.147] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.147] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.148] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_13, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.159] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.160] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.160] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_14, Total msg: 300
[00:00:10.171] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.171] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.172] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.172] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.172] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.172] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.173] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.173] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.173] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.173] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_15, Total msg: 300
[00:00:10.183] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.184] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_16, Total msg: 300
[00:00:10.204] (7f95cd9ee700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.204] (7f95cdbef700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.205] (7f95cd9ee700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325683986
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.205] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.206] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.206] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.206] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_17, Total msg: 300
[00:00:10.206] (7f95cdbef700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325683986
[00:00:10.212] (7f95ccfe9700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.214] (7f95cd1ea700) INFO   [Starting actor] Cam id: cam_1, sequence: 0
[00:00:10.214] (7f95ccfe9700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325683995
[00:00:10.215] (7f95cd1ea700) INFO   [SendToPublisher] Cam id: cam_1, Sequence: 0, Timestamp: 1632325683996
[00:00:10.217] (7f95ceb97440) INFO   [Starting actor] Cam id: cam_18, Total msg: 300
